Constant,Distance,Population,Pop_Square,Train,Flight
1,0.79979,0.01786,0.00032,0,1.8
1,0.90731,0.01582,0.00025,0,0.5
1,0.87597,0.0184,0.00034,0,0.6
1,1.06875,0.01662,0.00028,0,0.3
1,1.05072,0.00841,0.00007,0,0
1,1.32322,0.0423,0.00179,0,1
1,1.37748,0.01481,0.00022,0,0.7
1,1.34435,0.00562,0.00003,0,1.4
1,1.43789,0.02177,0.00047,0,0.8
1,1.39028,0.00766,0.00006,0,0.6
1,1.49461,0.00602,0.00004,0,1.1
1,1.51875,0.01111,0.00012,0,2
1,1.58183,0.03821,0.00146,0,0.6
1,1.58295,0.00915,0.00008,0,0.8
1,1.74471,0.01119,0.00013,0,0.9
1,1.70189,0.01394,0.00019,0,1.5
1,1.76285,0.00872,0.00008,0,1.7
1,1.80423,0.01327,0.00018,0,3.4
1,2.47043,0.0103,0.00011,0,3.7
1,0.30899,0.04258,0.00181,0,5.9
1,1.63325,0.03821,0.00146,0,7.3
1,1.09274,0.04583,0.0021,0,0.5
1,1.33541,0.06672,0.00445,0,2.4
1,1.26624,0.05489,0.00301,0,2.9
1,1.30901,0.06672,0.00445,0,8.1
1,1.11505,0.09512,0.00905,0,16.4
1,0.24228,0.04258,0.00181,0,0.4
1,1.0939,0.00888,0.00008,0,0.7
1,1.19683,0.05489,0.00301,0,1.9
1,0.14833,0.00779,0.00006,0,1.5
1,0.05587,0.00381,0.00001,0,2.1
1,0.37402,0.00654,0.00004,0,1.6
1,0.45855,0.0209,0.00044,0,2.1
1,0.56826,0.01666,0.00028,0,1.7
1,0.53725,0.02015,0.00041,0,1.8
1,0.67124,0.01769,0.00031,0,1.5
1,0.67459,0.03433,0.00118,0,2.6
1,0.78146,0.03042,0.00093,0,1.3
1,0.78585,0.03536,0.00125,0,1.4
1,0.99623,0.03194,0.00102,0,1.1
1,0.99145,0.01617,0.00026,0,0.8
1,1.27726,0.08131,0.00661,0,1.8
1,1.3595,0.02847,0.00081,0,1.5
1,1.35227,0.01079,0.00012,0,2.2
1,1.43232,0.04184,0.00175,0,1.6
1,1.36036,0.01472,0.00022,0,1.4
1,1.46518,0.01158,0.00013,0,1.9
1,1.50592,0.02135,0.00046,0,2.8
1,1.58863,0.07344,0.00539,0,1.4
1,1.58147,0.01759,0.00031,0,1.6
1,1.75943,0.02151,0.00046,0,1.7
1,1.70401,0.02679,0.00072,0,2.3
1,1.74526,0.01677,0.00028,0,2.5
1,1.79693,0.0255,0.00065,0,4.2
1,2.45466,0.01979,0.00039,0,4.5
1,0.24801,0.08185,0.0067,0,6.7
1,1.64804,0.07344,0.00539,0,8.1
1,0.9558,0.08809,0.00776,0,1.3
1,1.28787,0.12824,0.01645,0,3.2
1,1.19744,0.10551,0.01113,0,3.7
1,1.26186,0.12824,0.01645,0,8.9
1,0.99368,0.18284,0.03343,0,17.2
1,0.23767,0.08185,0.0067,0,1.2
1,1.05077,0.01708,0.00029,0,1.5
1,1.13362,0.10551,0.01113,0,2.7
1,0.1556,0.01402,0.0002,0,2
1,0.26023,0.02407,0.00058,0,1.5
1,0.36322,0.07693,0.00592,0,2
1,0.48276,0.06134,0.00376,0,1.6
1,0.47162,0.07417,0.0055,0,1.7
1,0.59862,0.06512,0.00424,0,1.4
1,0.60882,0.12637,0.01597,0,2.5
1,0.71744,0.11198,0.01254,0,1.2
1,0.70198,0.1302,0.01695,0,1.3
1,0.90597,0.11759,0.01383,0,1
1,0.89507,0.05952,0.00354,0,0.7
1,1.1772,0.29935,0.08961,0,1.7
1,1.24885,0.1048,0.01098,0,1.4
1,1.23258,0.03974,0.00158,0,2.1
1,1.31755,0.15404,0.02373,0,1.5
1,1.25426,0.0542,0.00294,0,1.3
1,1.35937,0.04264,0.00182,0,1.8
1,1.39405,0.0786,0.00618,0,2.7
1,1.4703,0.27037,0.0731,0,1.3
1,1.4659,0.06477,0.0042,0,1.5
1,1.63908,0.07918,0.00627,0,1.6
1,1.58762,0.09864,0.00973,0,2.2
1,1.63599,0.06174,0.00381,0,2.4
1,1.68408,0.09388,0.00881,0,4.1
1,2.34629,0.07287,0.00531,0,4.4
1,0.12529,0.30134,0.0908,0,6.6
1,1.52732,0.27037,0.0731,0,8
1,0.90007,0.3243,0.10517,0,1.2
