price,pi1,pi2
293.0000000000001,554.3666216106086,7418.136825332481
294.0000000000001,554.4139495574508,7418.6704710569575
295.0000000000001,554.4317437241053,7419.169727671139
296.0000000000001,554.4206150145843,7419.635259479765
297.0000000000001,554.3811640266406,7420.067719873162
298.0000000000001,554.3139812122513,7420.467751494515
299.0000000000001,554.2196470357469,7420.835986404733
300.0000000000001,554.0987321296368,7421.173046244912
301.0000000000001,553.9517974481497,7421.479542396487
302.0000000000001,553.7793944185248,7421.756076139034
303.0000000000001,553.5820650900927,7422.0032388058125
304.0000000000001,553.3603422811465,7422.221611937034
305.0000000000001,553.1147497236718,7422.411767430919
306.0000000000001,552.8458022059327,7422.574267692542
307.0000000000001,552.5540057129579,7422.709665780528
308.0000000000001,552.2398575649522,7422.818505551594
