"NameID","year","Maker","Type","Name","Sales","Model","Nippyo","price","kata","capacity","FuelType","FuelEfficiency","HH","size","hppw","share","share0","hppw_sum_own","FuelEfficiency_sum_own","size_sum_own","hppw_sqr_sum_own","FuelEfficiency_sqr_sum_own","size_sqr_sum_own","hppw_sum_mkt","FuelEfficiency_sum_mkt","size_sum_mkt","hppw_sqr_sum_mkt","FuelEfficiency_sqr_sum_mkt","size_sqr_sum_mkt","iv_BLP_own_hppw","iv_BLP_own_FuelEfficiency","iv_BLP_own_size","iv_BLP_other_hppw","iv_BLP_other_FuelEfficiency","iv_BLP_other_size","iv_GH_own_hppw","iv_GH_own_FuelEfficiency","iv_GH_own_size","iv_GH_other_hppw","iv_GH_other_FuelEfficiency","iv_GH_other_size"
191,2008,"Toyota","Regular","ハイエースワゴン",7777,"2.7 DX ロング ミドルルーフ",0,2.40428701825558,"CBA-TRH214W",10,"レギュラー",9.1,52324877,19.153816,0.0790575916230366,0.000148629111923187,0.923564101259139,3.84222212989681,581,493.45984625,0.395245005269097,9477.96,6479.77360525685,16.373780489064,2448.6,1872.2713685,1.835727397753,39436.96,22275.9391307519,3.76316453827378,571.9,474.30603025,12.5315583591672,1867.6,1378.81152225,0.0314853580645025,2133.35,1884.37343544765,0.246565698112919,6402.74,9202.61322137604
191,2009,"Toyota","Regular","ハイエースワゴン",6405,"2.7 DX ロング ミドルルーフ",0,2.43891666666667,"CBA-TRH214W",10,"レギュラー",9.1,52877802,19.153816,0.0790575916230366,0.000121128332830476,0.929189662611165,3.8923568879463,590.5,494.072033125,0.408695630822321,9883.33,6495.02524074215,16.6970933878047,2451.2,1912.1876505,1.89477188385809,39451.98,23050.6041581351,3.81329929632326,581.4,474.918217125,12.8047364998584,1860.7,1418.115617375,0.0370089171617352,2365.82,1876.17364141022,0.255216049683801,6220.78000000001,8823.24846849438
191,2010,"Toyota","Regular","ハイエースワゴン",7781,"2.7 DX ロング ミドルルーフ",0,2.52182797927461,"CBA-TRH214W",10,"レギュラー",8.6,53362801,19.153816,0.0790575916230366,0.000145813185481025,0.924956956438625,4.15903949272583,626.4,522.427949875,0.443713177472309,10621.12,6905.55356753587,17.1436315603779,2569.6,1952.225655375,1.94621901097712,42192.38,23463.3298474988,4.07998190110279,617.8,503.274133875,12.984592067652,1943.2,1429.7977055,0.0423601004749363,2879.4,1934.19127904602,0.25570793967979,7689.06,9111.67003290395
191,2011,"Toyota","Regular","ハイエースワゴン",7507,"2.7 DX ロング ミドルルーフ",0,2.52706542056075,"CBA-TRH214W",10,"レギュラー",8.6,53783435,19.153816,0.0790575916230366,0.000139578292089377,0.93898110077945,3.94812396351109,614.8,492.682771125,0.421382355044191,10722.5,6458.18765551562,16.0219577271308,2513.9,1844.750029365,1.81995528176674,43068.89,22207.6743766989,3.86906637188805,606.2,473.528955125,12.0738337636197,1899.1,1352.06725824,0.04087802001158,3032.38,1892.55539363128,0.245778926686613,8631.03,8346.100504061
191,2012,"Toyota","Regular","ハイエースワゴン",9078,"2.7 DX ロング ミドルルーフ",0,2.56915384615385,"CBA-TRH214W",10,"レギュラー",8.6,54171475,19.153816,0.0786458333333333,0.00016757897029756,0.919761848832804,4.23654761212097,688.6,520.2051025,0.45480846990784,12928.34,6715.70892497372,16.4951046831027,2709.1,1924.543923125,1.84789517561898,48757.65,23198.8675910379,4.15790177878764,680,501.0512865,12.2585570709817,2020.5,1404.338820625,0.0482118533138117,4190.74,2196.36732307939,0.238063720674772,10321.71,8544.84734247962
191,2013,"Toyota","Regular","ハイエースワゴン",8544,"2.7 DX ロング ミドルルーフ",0,2.55851552795031,"CBA-TRH214W",10,"レギュラー",8.6,54594744,19.153816,0.0786458333333333,0.000156498581621703,0.919563190918159,4.08212554268942,681.4,508.54062375,0.427941948532334,13029.22,6578.88343253059,15.8503028046047,2814.9,1891.172852125,1.72818240348778,54138.71,22804.643189078,4.00347970935609,672.8,489.38680775,11.7681772619152,2133.5,1382.632228375,0.0394494695086165,4341.5,2139.51172270122,0.209979793185442,13510.37,8385.23924612624
191,2014,"Toyota","Regular","ハイエースワゴン",8298,"2.7 DX ロング ミドルルーフ",0,2.59317036290323,"CBA-TRH214W",10,"レギュラー",8.6,55952365,19.153816,0.0786458333333333,0.000148304723133687,0.918813422810635,3.9332535253999,672.3,499.675736625,0.403805354334898,13102.77,6514.35146173488,16.4547814531103,2924.6,1942.3567615,1.84902536961864,57529.84,23601.0285564933,3.85460769206657,663.7,480.521920625,12.5215279277104,2252.3,1442.681024875,0.0325440359299836,4497.61,2047.70391824969,0.261204240109152,15080.43,8413.30405541977
191,2015,"Toyota","Regular","ハイエースワゴン",8507,"2.7 DX ロング ミドルルーフ",0,2.670327,"CBA-TRH214W",10,"レギュラー",9.7,56412140,19.153816,0.0829015544041451,0.000150800873712644,0.92791704055191,3.6369986102391,643.4,465.63212075,0.374120728242846,12995.46,6127.68065680461,16.2763247925773,3019.4,1924.67783025,1.83305191989363,62351.38,23541.0604791339,3.55409705583495,633.7,446.47830475,12.6393261823382,2376,1459.0457095,0.0253837576708399,3994.83,1864.55742012272,0.242993085872889,15305.04,8479.98313394198
191,2016,"Toyota","Regular","ハイエースワゴン",8733,"2.7 DX ロング ミドルルーフ",0,2.706,"CBA-TRH214W",10,"レギュラー",9.7,56950757,19.153816,0.0829015544041451,0.000153343001217701,0.930048041328055,3.8423846746569,721,499.764263875,0.388206037977652,15287.38,6520.21211797861,16.7128200535832,3176.1,1974.399901,1.90525917123814,67586.05,24147.5388741894,3.75948312025276,711.3,480.610447875,12.8704353789263,2455.1,1474.635637125,0.0260334225871439,5063.58,2050.17330517846,0.269669071936722,16807.34,8463.58552482017
192,2006,"Toyota","Regular","ハイラックス",7707,"2.7 SSR-X Vセレクション",0,2.56841666666667,"CBA-TRN210W",5,"レギュラー",8.9,51102005,16.4278145,0.0947674418604651,0.000150816000272396,0.915227533635911,4.58795974810207,630.9,546.961630875,0.503898058569275,10126.55,7022.55480214796,16.3243080273344,2414.4,1863.32285775,1.77601497080347,38911.12,22009.5113677864,4.49319230624161,622,530.533816375,11.7363482792324,1783.5,1316.361226875,0.0294778348146121,2381.77,926.202307726064,0.134354538271518,6622.68,4391.7242642643
